trade_no,stockid,bought_date,bought_time,bought_price,sold_date,sold_time,sold_price,QTY,LS_type,Algorithm
0,2515,20180703,1230,8.07,20180703,1300,8.05,1000,1,1
1,2313,20180704,1230,31.8,20180704,1300,31.65,1000,1,1
2,2421,20180704,1230,42.15,20180704,1300,42.05,1000,1,1
3,3661,20180705,1300,130.5,20180705,1330,129.5,1000,1,1
4,2408,20180705,1300,78.7,20180705,1330,78.1,1000,1,1
5,2481,20180705,1300,57.8,20180706,1230,55.4,1000,1,1
6,2330,20180705,1300,214,20180709,1230,222.5,1000,1,1
7,2408,20180710,1330,83.6,20180710,1230,83.5,1000,2,1
8,3661,20180712,1230,143,20180710,1230,137.5,1000,2,1
9,1409,20180717,1230,12.35,20180717,1300,12.35,1000,1,1
10,2421,20180717,1230,42.15,20180711,1230,43.85,1000,2,1
11,1409,20180719,1300,13.2,20180719,1230,13.2,1000,2,1
12,2408,20180719,1230,81,20180719,1300,80.8,1000,1,1
13,2330,20180711,1230,220,20180720,1230,236,1000,1,1
14,3661,20180723,1230,130.5,20180723,1300,130.5,1000,1,1
15,2481,20180725,1300,47.4,20180725,1230,47.1,1000,2,1
